General.Time (millis),MAX17048.Voltage (V),MAX17048.State Of Charge (%),MAX17048.Change Rate (%/hr),ISM330.Accel X (milli-g),ISM330.Accel Y (milli-g),ISM330.Accel Z (milli-g),ISM330.Gyro X (milli-dps),ISM330.Gyro Y (milli-dps),ISM330.Gyro Z (milli-dps),ISM330.Temperature (C),MMC5983.X Field (Gauss),MMC5983.Y Field (Gauss),MMC5983.Z Field (Gauss),MMC5983.Temperature (C)
88498,4.294,113.953,-3.120,2.928,-27.694,1015.772,297.500,-630.000,-332.500,24.238,-0.04938,0.34387,0.38074,23
88567,4.293,113.953,-3.120,2.806,-27.816,1016.016,472.500,-595.000,-332.500,24.234,-0.04932,0.34412,0.38074,24
88602,4.293,113.953,-3.120,2.684,-27.816,1016.016,402.500,-595.000,-315.000,24.242,-0.04938,0.34406,0.38037,24
88626,4.293,113.953,-3.120,2.806,-27.816,1016.016,350.000,-577.500,-350.000,24.297,-0.04968,0.34430,0.38037,24
88655,4.293,113.953,-3.120,2.806,-27.694,1015.894,297.500,-612.500,-315.000,24.285,-0.04889,0.34387,0.38031,24
88679,4.293,113.953,-3.120,2.806,-27.694,1015.894,420.000,-612.500,-297.500,24.242,-0.04944,0.34387,0.38086,24
88714,4.293,113.953,-3.120,2.806,-27.694,1015.894,367.500,-542.500,-350.000,24.281,-0.04944,0.34406,0.38080,24
88738,4.293,113.953,-3.120,2.806,-27.572,1016.016,367.500,-560.000,-297.500,24.316,-0.04932,0.34412,0.38104,24
88767,4.293,113.953,-3.120,2.806,-27.572,1016.016,402.500,-577.500,-332.500,24.297,-0.04999,0.34418,0.38007,24
88791,4.293,113.953,-3.120,2.928,-27.572,1016.016,350.000,-577.500,-280.000,24.305,-0.04974,0.34406,0.38080,25
88820,4.293,113.953,-3.120,2.928,-27.572,1015.894,367.500,-560.000,-332.500,24.262,-0.04962,0.34430,0.38049,25
88844,4.293,113.953,-3.120,2.928,-27.572,1016.016,297.500,-630.000,-367.500,24.273,-0.04938,0.34406,0.38049,25
88879,4.293,113.953,-3.120,2.928,-27.572,1015.894,420.000,-577.500,-262.500,24.297,-0.04950,0.34387,0.38031,25
88903,4.293,113.953,-3.120,2.806,-27.572,1015.894,420.000,-560.000,-297.500,24.301,-0.04956,0.34412,0.38043,25
88932,4.293,113.953,-3.120,2.928,-27.572,1015.894,332.500,-507.500,-262.500,24.301,-0.04950,0.34430,0.38013,25
88956,4.293,113.953,-3.120,2.806,-27.572,1015.772,315.000,-577.500,-350.000,24.309,-0.04974,0.34418,0.38092,25
88991,4.293,113.953,-3.120,2.928,-27.572,1015.772,332.500,-595.000,-332.500,24.312,-0.04932,0.34454,0.38055,25
89015,4.293,113.953,-3.120,2.928,-27.328,1015.772,420.000,-542.500,-315.000,24.340,-0.04932,0.34418,0.38080,25
89044,4.293,113.953,-2.288,2.928,-27.328,1015.894,385.000,-560.000,-332.500,24.340,-0.04926,0.34424,0.37988,25
89068,4.293,113.953,-2.288,2.928,-27.328,1015.772,350.000,-595.000,-350.000,24.297,-0.04968,0.34381,0.37994,25
89105,4.293,113.953,-2.288,3.050,-27.450,1015.772,437.500,-542.500,-332.500,24.270,-0.04907,0.34406,0.38092,25
89129,4.293,113.953,-2.288,3.172,-27.572,1015.894,262.500,-542.500,-350.000,24.305,-0.04950,0.34406,0.38049,25
89158,4.293,113.953,-2.288,3.050,-27.328,1016.016,350.000,-507.500,-297.500,24.297,-0.04962,0.34424,0.38000,25
89182,4.293,113.953,-2.288,3.172,-27.206,1016.016,437.500,-542.500,-332.500,24.305,-0.04950,0.34424,0.38062,25
89211,4.293,113.953,-2.288,3.050,-27.206,1015.894,385.000,-577.500,-385.000,24.297,-0.04895,0.34436,0.38019,25
89235,4.293,113.953,-2.288,3.172,-27.328,1015.772,350.000,-560.000,-297.500,24.305,-0.04938,0.34424,0.38104,25
89270,4.293,113.953,-2.288,3.050,-27.328,1015.772,350.000,-577.500,-350.000,24.285,-0.04944,0.34424,0.38086,25
89294,4.293,113.953,-2.288,3.172,-27.328,1015.772,367.500,-560.000,-385.000,24.266,-0.04938,0.34424,0.38104,25
89323,4.293,113.953,-2.288,3.172,-27.450,1015.528,350.000,-647.500,-315.000,24.348,-0.04932,0.34430,0.38049,25
89347,4.293,113.953,-2.288,3.172,-27.206,1015.528,315.000,-507.500,-332.500,24.332,-0.04926,0.34436,0.38074,25
89382,4.293,113.953,-2.288,3.172,-27.328,1015.406,437.500,-542.500,-350.000,24.281,-0.04968,0.34436,0.38019,25
89406,4.293,113.953,-2.288,3.172,-27.206,1015.528,367.500,-595.000,-262.500,24.285,-0.04993,0.34418,0.38123,25
89435,4.293,113.953,-2.288,3.294,-27.328,1015.772,385.000,-577.500,-297.500,24.320,-0.04950,0.34430,0.38068,25
89459,4.293,113.953,-2.288,3.416,-27.328,1015.650,367.500,-700.000,-280.000,24.320,-0.04999,0.34375,0.38116,25
89493,4.293,113.953,-2.288,3.416,-27.084,1015.772,735.000,-857.500,-350.000,24.297,-0.04938,0.34406,0.38025,25
89517,4.293,113.953,-2.288,3.538,-27.084,1015.528,1015.000,-1155.000,-245.000,24.305,-0.04913,0.34448,0.38086,25
89546,4.294,113.953,-2.288,5.002,-26.230,1015.284,612.500,-822.500,1015.000,24.316,-0.04944,0.34412,0.38062,26
89570,4.294,113.953,-2.288,3.660,-26.840,1015.162,437.500,-525.000,-367.500,24.348,-0.04932,0.34393,0.38080,26
89605,4.294,113.953,-2.288,6.710,-25.864,1014.918,542.500,-577.500,-4900.000,24.301,-0.04987,0.34424,0.38074,25
